file_num	elab_line	worker_num	question	target_line	target
1012	4	0	What happens if he does fall?	1	without falling
1012	13	0	What is an example of a measurement of steepness?	11	measure steepness with angles
1015	29	0	What do call centers do?	28	call center
1012	4	1	What if he falls?	3	hundreds of feet above the ground
1012	13	1	What angle goes straight up?	11	measure steepness with angles
1015	29	1	What is the function of call center?	28	call center
1015	41	2	What kind of memories many workers in Mexican call centers had of Mexico?	38	many of the workers in Mexican call centers grew up in the U.S.
1016	39	2	Was having smaller, quieter classes the only way to impact kids who do not pay attention in classes?	37	Smaller, quieter classes may have their biggest effect on kids who do not pay attention
1019	13	2	Is being successful in a country a recipe for being successful in U.S.?	12	They are successful in their country.
1015	41	3	How much did people returning to Mexico remember of their birth country?	40	people returning to Mexico
1016	39	3	What was the other impact of small class sizes?	40	smaller class sizes work even better if teachers changed
1019	13	3	What is different in Taiwan than in the United States?	10	how home buying works
102	3	2	Can you imagine what else they could have done?	1	Maybe they flew Black Hawk helicopters
102	20	2	Did he become a teacher?	19	He left the military in 2001 to become a teacher.
1020	19	2	How many people deal with their weight?	18	Our country is obsessed with weight.
102	3	0	What might a teacher have done before becoming a teacher?	0	teachers do before they were teachers
102	20	0	Did he become a teacher?	19	become a teacher
1020	19	0	What reflects the importance of weight loss?	15	weight loss is very important
1020	21	3	What concern would people have about an overweight president?	17	being overweight would hurt Christie's chances of becoming president
1021	12	3	What can happen when elephants get upset?	11	Some of the elephants weigh 15,000 pounds each
1022	28	3	Why do people want Disney parks to be no-fly zones?	27	Disney parks deserve special protection
1020	21	2	What kind of unwanted attention would an overweight person draw?	20	An overweight person running for president would draw a lot of unwanted attention
1021	12	2	What can happen when an elephant get scared?	8	The elephants get scared and their ears go out
1022	28	2	What do defenders of the no-fly zone say about parks?	27	Defenders of the no-fly zones say the Disney parks deserve special protection
1022	29	4	Why might the parks be the target of terror attacks?	30	there could be terror attacks
1023	32	4	What right would amnesty bestow to illegal immigrants?	31	amnesty for illegal immigrants
1024	17	4	Why are the offerings significant?	16	very important offerings
1022	29	0	What is one reason given for keeping a no-fly zone over Disney parks?	27	Defenders of the no-fly zones say the Disney parks
1023	32	0	What would amnesty do for illegal immigrants?	31	amnesty for illegal immigrants
1024	17	0	Why do scientist think there is a body in the tunnel?	14	someone important is buried in the tunnel
1025	16	1	What does California's law say about limbs of hen?	14	California's law
1025	25	1	Who is Joe Maxwell?	23	Joe Maxwell
1025	36	1	What would be the consequence of stopping to sell eggs to California?	35	stop selling to California
1025	16	5	Why do hens need to turn around freely?	14	turn around freely
1025	25	5	What is Joe Maxwell's profession?	23	Joe Maxwell
1025	36	5	What might happen if they stop selling eggs to California?	35	stop selling to California
1026	5	2	Is a yougn man running down the sidewalk being chased by the police?	0	A young man runs full-speed down the sidewalk.
1027	2	2	How is this disease spreading?	1	A disease has killed the animals
1029	38	2	Why the government will look into the Brown case?	37	The government will look into the Brown case.
1026	5	0	Why is the man running full-speed down the sidewalk?	0	man runs full-speed down the sidewalk
1027	2	0	How serious is the star fish killing disease?	1	disease has killed the animals, also called starfish
1029	38	0	Why is the government looking into the Brown case?	37	government will look into the Brown case
103	3	3	What was Li covered with?	1	seaweed
103	24	3	Where especially does algae grow in China?	19	Qingdao's shoreline
103	25	3	What grows wild in the summer in China?	24	algae is called hutai
103	3	4	What does the seaweed look like?	1	seaweed
103	24	4	What is the name of that which is responsible for this transformation?	19	it turns
103	25	4	In what season are these worst days likely to be occurring?	20	on the worst days
103	27	3	In what topic is Tim Nelson an expert?	24	algae
1030	1	3	Why did the Thai students learn the hand signal?	0	''Hunger Games'' movies
1030	2	3	What has the army banned?	1	freedom
103	27	5	What is the profession of the person who said that seaweed is hard to stop once it starts growing?	30	seaweed starts growing
1030	1	5	Why does the army see holding up of three fingers as illegal?	2	sign of holding up three fingers
1030	2	5	What were young people getting arrested for using?	3	for using it
1030	5	0	What can happen to someone who uses the banned three finger sign?	2	army has banned the sign of holding up three fingers
1030	7	0	What are the Hunger Games books about?	6	''Hunger Games'' books
1030	9	0	What do people think of the Hunger Games movie?	4	movie theater showing ''The Hunger Games
1030	5	3	Why are students being arrested?	3	arrested young people
1030	7	3	What happens in the Hunger Games books?	2	the sign of holding up three fingers
1030	9	3	How have the books and movie been received?	6	''Mockingjay'' is based on the ''Hunger Games'' books.
1030	12	3	According to some, why should the officials have been allowed to stay in power?	13	Thailand's army took over running the country
1031	1	3	What are examples of some jobs that Barbie has had?	0	Barbie doll
1031	24	3	What does Coding mean?	25	Computer engineers, or software engineers, write code to build websites, apps and games
1030	12	0	What did others think about the government?	11	Some protesters said
1031	1	0	What are some of the Barbie dolls many jobs?	0	Barbie doll has had many jobs
1031	24	0	What are Steven and Brian helping with by coding?	23	coding now, but Steven and Brian are helping, too
1031	26	3	How was the response to Feisler's new book?	27	50,000 visits to her website in just a few days
1031	36	3	What does Feisler study?	35	Fiesler, who rewrote the book, is a research student at Georgia Tech University in Atlanta.
1033	26	3	How did parents respond to the test results?	25	few of them passed
1031	26	0	How did readers feel about Barbie being tougher and more confident?	21	Barbie is tougher and more confident
1031	36	0	Who studies technology?	35	Fiesler
1033	26	0	How did parents react to California testing the English of kindergarteners?	24	kindergarteners in California were tested in English
1034	22	3	What does a grand jury do?	21	A grand jury
1036	13	3	What does the world now face?	14	number of people on the planet is growing fast and humans are changing the environment
1036	31	3	What did Muir hope Californians would understand?	30	Sierra Mountains
1034	22	0	Why did a grand jury decide if the officer should be charged?	20	grand jury decided not to charge the officer
1036	13	0	Why is Muir no longer important?	9	Muir is no longer important
